Tile_00 ..\..\Binary\Resources\Sprite\Tile\Tile_00.png 0 0 32 32
Tile_01 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png 32 0 32 32
Tile_02 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png 64 0 32 32
Tile_03 ..\..\Binary\Resources\Sprite\Tile\Tile_03.png 96 0 32 32
Tile_04 ..\..\Binary\Resources\Sprite\Tile\Tile_04.png 128 0 32 32
Tile_05 ..\..\Binary\Resources\Sprite\Tile\Tile_05.png 160 0 32 32
Tile_06 ..\..\Binary\Resources\Sprite\Tile\Tile_06.png 192 0 32 32
Tile_07 ..\..\Binary\Resources\Sprite\Tile\Tile_07.png 224 0 32 32
Tile_08 ..\..\Binary\Resources\Sprite\Tile\Tile_08.png 0 32 32 32
Tile_09 ..\..\Binary\Resources\Sprite\Tile\Tile_09.png 32 32 32 32
Tile_10 ..\..\Binary\Resources\Sprite\Tile\Tile_10.png 64 32 32 32
Tile_11 ..\..\Binary\Resources\Sprite\Tile\Tile_11.png 96 32 32 32
Tile_12 ..\..\Binary\Resources\Sprite\Tile\Tile_12.png 128 32 32 32
Tile_13 ..\..\Binary\Resources\Sprite\Tile\Tile_13.png 160 32 32 32
Tile_14 ..\..\Binary\Resources\Sprite\Tile\Tile_14.png 192 32 32 32
Tile_15 ..\..\Binary\Resources\Sprite\Tile\Tile_15.png 224 32 32 32
Tile_16 ..\..\Binary\Resources\Sprite\Tile\Tile_16.png 0 64 32 32
Tile_17 ..\..\Binary\Resources\Sprite\Tile\Tile_17.png 32 64 32 32
Tile_18 ..\..\Binary\Resources\Sprite\Tile\Tile_18.png 64 64 32 32
Tile_19 ..\..\Binary\Resources\Sprite\Tile\Tile_19.png 96 64 32 32
Tile_20 ..\..\Binary\Resources\Sprite\Tile\Tile_20.png 128 64 32 32
Tile_21 ..\..\Binary\Resources\Sprite\Tile\Tile_21.png 160 64 32 32
Tile_22 ..\..\Binary\Resources\Sprite\Tile\Tile_22.png 192 64 32 32
Tile_23 ..\..\Binary\Resources\Sprite\Tile\Tile_23.png 224 64 32 32
Tile_24 ..\..\Binary\Resources\Sprite\Tile\Tile_24.png 0 96 32 32
Tile_25 ..\..\Binary\Resources\Sprite\Tile\Tile_25.png 32 96 32 32
Tile_26 ..\..\Binary\Resources\Sprite\Tile\Tile_26.png 64 96 32 32
Tile_27 ..\..\Binary\Resources\Sprite\Tile\Tile_27.png 96 96 32 32
Tile_28 ..\..\Binary\Resources\Sprite\Tile\Tile_28.png 128 96 32 32
Tile_29 ..\..\Binary\Resources\Sprite\Tile\Tile_29.png 160 96 32 32
Tile_30 ..\..\Binary\Resources\Sprite\Tile\Tile_30.png 192 96 32 32
Tile_31 ..\..\Binary\Resources\Sprite\Tile\Tile_31.png 224 96 32 32
Tile_32 ..\..\Binary\Resources\Sprite\Tile\Tile_32.png 0 128 32 32
Tile_33 ..\..\Binary\Resources\Sprite\Tile\Tile_33.png 32 128 32 32
Tile_34 ..\..\Binary\Resources\Sprite\Tile\Tile_34.png 64 128 32 32
Tile_35 ..\..\Binary\Resources\Sprite\Tile\Tile_35.png 96 128 32 32
