0
Back Back 0.05 2 2 ..\..\Binary\Resources\Sprite\Map\Back\Back.png 465.272 -451.324
2
175
Tile
Tile_00 32 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_00.png
Tile_01 96 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 160 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 224 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 288 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 352 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 416 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 480 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 544 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 608 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 672 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 736 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 800 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_02 864 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 928 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 992 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,056 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,120 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,184 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,248 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,312 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,376 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,440 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,504 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,568 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,696 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,632 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,760 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,824 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,888 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 1,952 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
Tile_02 2,016 608 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_02.png
