0
Back Back_19 0.05 2 2 ..\..\Binary\Resources\Sprite\Map\Back\Back_19.png 384.313 244
1
Layer Flag_3 1 2 2 ..\..\Binary\Resources\Sprite\Map\Flag\Flag_3.png 140.617 2,624.12
1
Layer Flower02 1 2 2 ..\..\Binary\Resources\Sprite\Map\flower\Flower02.png 1,332.97 2,528.9
1
Layer Flower16 1 2 2 ..\..\Binary\Resources\Sprite\Map\flower\Flower16.png 11,441.4 1,905.03
1
Layer Orchid01 1 1 1 ..\..\Binary\Resources\Sprite\Map\Orchid\Orchid01.png 2,333.46 2,090.78
1
Layer Flower18 1 3 3 ..\..\Binary\Resources\Sprite\Map\flower\Flower18.png 539.917 2,918.48
1
Layer Ivy_Blue02 1 2 2 ..\..\Binary\Resources\Sprite\Map\ivy\Ivy_Blue02.png 5,101.24 428
1
Layer Flower16 1 2 2 ..\..\Binary\Resources\Sprite\Map\flower\Flower16.png 10,681.4 828.654
2
223
Tile
Tile_00 96 3,040 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_00.png
Tile_01 160 3,040 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 224 3,040 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 288 3,040 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 416 3,040 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 352 3,040 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 480 3,040 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_01 544 3,040 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_01.png
Tile_03 608 3,040 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_03.png
Tile_08 96 3,168 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_08.png
Tile_11 608 3,168 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_11.png
Tile_04 96 3,104 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_04.png
Tile_07 608 3,104 64 64 ..\..\Binary\Resources\Sprite\Tile\Tile_07.png
